,link,site,category,article,article_date,verbs,quantity
41,https://www.nyasatimes.com/malawi-court-fines-woman-k60-000-for-possessing-cannabis/,www.nyasatimes.com,Cannabis,"Malawi court fines woman K60, 000 for possessing cannabis January 22, 2015 Harry Chibwe -Nyasa Times 16 CommentsThe Balaka Second Grade Magistrate court has ordered a 30-year old woman to pay a fine of K60,000 or serve a 2-months custodial sentence in default or  for being found with Canabis Sativa which is commonly known as Indian hemp.
Hemp the woman hid in the baskets
Police Prosecutor Sergeant Getrude Chingolo Kafumbula told the court that the suspect Veronica Mwala was on 1st December last year at Chingeni road block found with two baskets containing Indian hemp weighing 62.5 kilograms which is contrary to regulation 19(1) as read with 4(a) of Dangerous Drug Act.
“The suspect was traveling in a motor vehicle registration number BP 1870 from Nkhotakota heading Blantyre, and upon being searched at Chingeni road block, it was discovered that the baskets that had dried fish on top contained Indian hemp,” Kafumbula told the court.
The suspect pleaded guilty to the offence and upon submission of the facts by the state, the court found her with the case to answer and consequently convicted her.
In her submission before sentence Kafumbula asked the court to consider giving the suspect a stiffer sentence saying that people like Veronica are the ones who are contributing to the bad behavior of the youths.
“Giving such people a stiffer sentence can be one way of protecting our children” Kafumbula said.
In her mitigation, the suspect Veronica Mwala asked for forgiveness saying she was doing this because of poverty and that she has five children to look after. She said the father of the children divorced her and she is the only parent who looks after them.
Passing judgment, Second Grade Magistrate Victor Sibu conquered with the state that people like Veronica are contributing to the bad behavior of the youths.
He said a lot of children are behaving strangely these days because of dangerous drugs like Indian hemp.
The Magistrate  therefore said the suspect deserved a stiffer sentence and then ordered her to pay a fine of K60, 000.00 and in default serve a 2 months custodial sentence.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
BalakaIndian hempNkhotakota",2015-01-22 00:00:00,"fine, possess, order, pay, serve, find, know, hide, tell, find, contain, weigh, read, travel, head, search, discover, have, dry, contain, tell, plead, find, answer, convict, ask, consider, give, say, contribute, give, protect, say, ask, say, do, have, look, say, divorce, look, pass, conquer, contribute, say, behave, say, deserve, order, pay, serve, care",62.5 kilograms
42,https://www.nyasatimes.com/malawi-industrial-medicinal-hemp-cultivation-begins/,www.nyasatimes.com,Cannabis,"Malawi industrial, medicinal hemp cultivation beginsOctober 19, 2021 James Nthondo – Nyasa Times 1 CommentFour of the eighty-nine companies who have been issued licenses to grow medicinal and industrial hemp in the country have rolled out the exercise, and the Cannabis Regulatory Authority (CRA) has said it expects the number to heighten as the rainy season begins.
CRA director general, Ketulo Salipira, said the numbers were few because a majority of those that have been licensed are hoping to depend on rain-fed while others are still setting up their irrigation facilities.
Dr. Ketulo Salipira, Director General, CRA
According to CRA, the four companies currently growing the crop are Mchinji Cannabis Cooperatives, Invegrow Limited, CPG Investments and Women of Vision.
“The licenses have one year lifespan subject to renewal and we expect that within the period, the licensees will have produced the crop as planned.
“The industry is a complicated one and new in this country, we are just setting it up. However, we expect those who have already started producing like Invegrow, they will start exporting between January and February next year when the economy will start benefiting from the industry,” Salipira said.
CRA licensed 48 firms for medicinal cannabis and 35 firms for industrial hemp production while six were licensed for research purposes on the crop varieties.
Farmers Union of Malawi (FUM) chief executive officer, Jacob Nyirongo, said cannabis has emerged as an alternative crop to tobacco, but said there is need for government commitment to ensure that the value chain takes an inclusive process.
“It’s a new crop and there are challenges. The conditions that farmers are supposed to meet in order to grow the crop are quite difficult to meet.
“It requires public investment in terms of extension services, training, advisory services and financing, without this, we will see farmers being excluded,” Nyirongo is quoted as saying in the press.
License fees to cultivate and sell as well as the license to process is pegged at $10 000 (about K7.4 million) for medicinal cannabis and license fees to cultivate and sell industrial hemp is at $2 000 (about K1.4 million).
On the other hand, a license to process industrial hemp is pegged at $5 000 (about K3.7 million).
Other requirements include that farmers should present a business plan to the CRA and should have readily identified markets upon application for production.
Invegrow director, Nebert Nyirenda, said the they have started hemp cultivation under greenhouses to produce flowers for extracts or premium grade flowers for export.
He said their greenhouses occupy nearly 10 000 square meter of space and the factory space of nearly 1 200 square meters which is already completed and connected to 3 phase power and that processing equipment is being procured.
An economic expert, Milward Tobias, has since tipped licensed companies and cooperatives to swiftly work on developing irrigation facilities as cannabis has potential to boost country’s revenue base.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print",2021-10-19 00:00:00,"issue, grow, roll, say, expect, heighten, begin, say, license, hope, depend, set, accord, grow, have, expect, produce, plan, set, expect, start, produce, start, export, start, benefit, say, license, license, say, emerge, say, be, ensure, take, ’, be, suppose, meet, grow, meet, require, see, exclude, quote, say, cultivate, sell, peg, cultivate, sell, process, peg, include, present, identify, say, start, produce, say, occupy, complete, connect, procure, tip, license, work, develop, have, boost, care",10 000 square meter nearly 1 200 square meters
47,https://www.nyasatimes.com/industrial-hemp-growers-threaten-malawi-govt-with-lawsuit/,www.nyasatimes.com,Cannabis,"Industrial hemp growers threaten  Malawi govt with lawsuitMarch 14, 2021 Phillip Pasula-Nyasa Times 4 CommentsSome industrial hemp growers in Mzimba are threatening the government with legal action for failure to issue them with licences.
The commercial growing of the hemp crop
The prospective cannabis farmers claim they have invested K30 million in the industrial hemp farming.
M’mbelwa Investment Limited spokesperson Rev. William Mumba said Saturday n Mzuzu that delays to issue licenses are frustrating.
He said the government should issue them with the licences.
“We are extremely concerned as famers because we have invested a lot into this venture. We had all the trust in our government that they would fulfill what was promised because it is about the country’s economy and the economy of individuals. The minimum investment by a single individual is about K700,000.00 while the maximum is 30 million Kwacha.
“It’s very unfortunate that government does not seem to be concerned and this is where we think we might consider mobilizing ourselves to force government to refund the money. If government issued the licences, farmers from Mzimba alone would bring into the country approximately $2 billion. This would certainly help to boost the economy of the country,” explained Mumba.
Another concerned farmer, Martin Kumwenda, wondered why an initiative conceived by government itself was also being hindered by the same government.
“We were asked by the same government to get organized to grow cannabis. We underwent trainings, paid licence fees and got down to prepare land. We are very concerned that government does not bother the time frame that was agreed upon,” lamented Kumwenda.
Last Thursday, agriculture authorities updated farmers that they were waiting for Ministry of Justice to gazzette names of board members by this week.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
industrial hemp",2021-03-14 00:00:00,"threaten, threaten, issue, claim, invest, say, delay, issue, say, issue, invest, have, fulfill, promise, seem, concern, think, consider, mobilize, force, refund, issue, bring, help, boost, explain, wonder, conceive, hinder, ask, get, organize, grow, undergo, pay, get, prepare, bother, agree, lament, update, wait, care",30 million Kwacha
52,https://www.nyasatimes.com/malawi-police-nab-rasta-man-over-hemp-bid-to-legalise-weed/,www.nyasatimes.com,Cannabis,"Malawi Police nab Rasta man over hemp:  Bid to legalise weedFebruary 7, 2015 Felie Mzumara - Nyasa Times 47 CommentsMalawi Police in Nkhotakota have arrested a 26-year-old Rasta man for illegally being found in possession of 31 kilograms of Cannabis Sativa locally knowns as ‘chamba’  at Kaombe police checkpoint in the district.
Rastafarian man smoking cannabis
Cannabis is regarded as a “sacred commodity” by Rastas and they have been campaigning to have laws allow them to use and sell cannabis as part of their religious beliefs and culture.
Dung their routine search on the night of February 4, 2015, police found Pitilizani Lapukeni with the ‘luggage’ aboard a National Bus Company bus registration BQ 4132 going to Blantyre from Mzuzu.
“Soon after the bus arrived at Kaombe Police roadblock, all passengers disembarked for police search. In the process, they discovered five baskets put together and concealed in black plastic paper which contained the illicit drug,” said Nkhotakota Police spokesperson Williams Kaponda.
The weed is widely grown in Nkhotakota.
He added: “A few minutes later the man came to a police officer conducting the search and offered him K4 000 to let him pass with the dangerous drugs. This prompted the officers manning the roadblock to identify the owner of the baskets and was immediately arrested.”
The suspect has been charged with an offence of being found in possession of Cannabis Sativa without license contrary to section 4 (a) of Dangerous Drug Regulation and 19 (1) of the Dangerous Drug Act.
Lapukeni hails from Mbaluku village, Senior Chief Malengachanzi in the district and is expected to appear before Nkhotakota Magistrate Court soon.
Following such growing cases which have become rampant in the district, police have appealed to the general public to come forward with information that will lead to curbing the malpractice.
Police, further remind the general public that rewards are still being made to patriotic Malawians who come forward with information which lead to the arrest of the drug traffickers.
But the Rasta continue to argue that the constitution allows everyone’s entitlement to freedom of  religion, including Rastafarian which allows use of Chamba regarded as a “sacred commodity” and “sacrament incense” with authority for its use derived from the Bible.
They regard Chamba as a herb originally grown in the Garden of Eden for the use of mankind for religious, culinary and medicinal purposes.
And that they don’t sell Chamba in open market as they  do it in their “Rastafarian gatherings” comparing the practise of Christian churches holding summer fairs and coffee mornings for fund raising purposes.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
Indian hempNkhotakotaRastafarians",2015-02-07 00:00:00,"nab, legalise, arrest, find, known, smoke, regard, campaign, have, allow, use, sell, find, go, arrive, disembark, discover, put, conceal, contain, say, grow, add, come, conduct, offer, let, pass, prompt, man, identify, arrest, charge, find, expect, appear, follow, grow, become, appeal, come, lead, curb, remind, make, come, lead, continue, argue, allow, include, allow, regard, derive, regard, grow, sell, do, compare, hold, care",31 kilograms
55,https://www.nyasatimes.com/police-uncovers-over-1000kgs-of-indian-hemp/,www.nyasatimes.com,Cannabis,"Police uncovers over 1000Kgs of Indian hempApril 8, 2016 Nyasa Times Reporter 8 CommentsIn an effort to tighten security in the district, Police in Balaka district east of Malawi are keeping in custody 28 people after they were arrested on various offences in a sweeping exercise.
Cannabis sativa being off loaded from the motor vehicle Toyata Noah registration number NU5035 at Balaka Police Station
Balaka Police Station Operations Officer, Superintendent Gideon Chisale, says 21 of the suspects were arrested for being found loitering within Balaka town, two for exceeding business hours while five of the suspects were arrested after they were found in possession of cannabis sativa commonly known as Indian hemp.
“The officers erected an abrupt road block just within Balaka town and started searching the vehicles; and in the process, they impounded two motor vehicles a Toyota Noah registration number NU 5035 and a Toyota Corolla registration number KA 4516 both containing approximately 1400 kilograms of cannabis sativa.”
Chisale identified the drug traffickers as Boniface Brasho 33 and Gift Banda 37 from Nkhotakota district, George Biliwita 22 and a lady Memory Banda from Ntcheu district, while Mayeso Misomali 30 comes from Mulanje district
“The suspects were driving from Nkhotakota heading Zomba. They have been charged with an offence of being found in possession of cannabis sativa,” said Chisale.
Superintendent Chisale also said the 21 suspects who were found loitering in town have been charged with the offence of rogue and vagabond while the other two suspects have been charged with the offence of exceeding business hour as their Bottle Stores were found operational until 03:00 hours which is against their licence.
All the suspects are expected to appear before court soon where they are expected to answer their respective charges.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
BalakaIndian hemp",2016-04-08 00:00:00,"tighten, keep, arrest, load, say, arrest, find, exceed, arrest, find, know, erect, start, search, impound, contain, identify, come, drive, head, charge, find, say, say, find, charge, charge, exceed, find, expect, appear, expect, answer, care",1400 kilograms
62,https://www.nyasatimes.com/man-arrested-cultivating-chamba/,www.nyasatimes.com,Cannabis,"Man arrested for cultivating ChambaJanuary 11, 2018 Daniel Namwini –Mana Be the first to commentLilongwe police Tuesday arrested a 63 year old man, Stafford Phalombe for cultivating, possessing and selling cannabis sativa locally known as Chamba.
Indian hemp’s narcotic relative, also known to users as Malawi gold, is so popular
According to Central Region Police Public Relations Officer, Nolliettie Chimala said police received a tip off from well-wishers that the suspect was cultivating the prohibited plant behind his house at Mtsiriza Township in Area 47 in Lilongwe.
“Upon receipt of the information, Crime Investigation Department officers from central Region Police Headquarters and Lilongwe police station rushes to the scene, four plants of cannabis were uprooted and the owner was instantly arrested,” she explained.
Currently, Phalombe who hails from Kapakasa Village in the Traditional Authority Mlumbe, in Zomba district is in police custody pending court to answer charges of illegal cultivation of cannabis sativa which is Contravenes Regulation 6A as read with 19 of Dangerous Drug Act.
Police in Dedza have arrested a 53 year old, Moses Wailesi from Mnthala Village, Traditional Authority Kaphuka, Dedza for the similar offence.
The suspect was found with 2 kilogrammes of loose cannabis sativa in his house and 70 plants of the weed.
“The police have uprooted the plants and arrested the suspect on the spot,” Chimala told Mana.
In a related development, 130 plants of Indian hemp belonging to Chisomo Jester aged 23, have been uprooted at Chimbaka Village, Traditional Authority Nthondo in Dedza.
The owner of the plants was arrested and he is in police custody pending court.
Police are appealing to the public to continue providing them with information which could lead to apprehend as many people as possible who may be seen cultivating, possessing and selling the prohibited plant.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
Indian hemp",2018-01-11 00:00:00,"arrest, cultivate, arrest, cultivate, possess, sell, know, know, accord, say, receive, cultivate, prohibit, rush, uproot, arrest, explain, hail, pende, answer, read, arrest, find, uproot, arrest, tell, belong, age, uproot, arrest, pende, appeal, continue, provide, lead, apprehend, see, cultivate, possess, sell, prohibit, care",2 kilogrammes
73,https://www.nyasatimes.com/courts-orders-destruction-of-chamba-in-kasungu/,www.nyasatimes.com,Cannabis,"Courts orders destruction of Chamba in KasunguOctober 2, 2015 Louis Phiri- Nyasa Times 16 CommentsBarely two week after Police in Malawi’s central region of Nkhotakota destroyed a farm of three hectares that had Cannabis Sativa, law enforcers have in the same region but neighboring  Kasungu district destroyed two and half tonnes of the illegal drug popularly known as Chamba.
Chamba peddlers in Nkhotakota with their bags containing the ‘golden leaf’
While the Nkhotakota operation was done by the Police and Game Rangers, the Kasungu operation was by the Police and the Courts simply because the latest case was under the courts confinement. In Nkhotakota the drug was found in a farm in a game reserve and was destroyed in the gardens.
Part of the Kasungu consignment was confiscated from Mbiriyakula Maliko and two others at Kalenga Trading Centre in the Area of Traditional Authority Wimbe in the district.
The other was found by the Police at Chisazima and Bua roadblocks.
The owners were however not traced but Malio and his colleagues convicted and fined K50, 000 each by the Kasungu Magistrate Court.
Kasungu Police Public Relations Officer Edwin Kaunda confirmed of the development which comes at a time when Malawi President Peter Mutharika approved the cultivation of industrial hemp.
Minister of Agriculture, Irrigation and Water Development Allan Chiyembekeza said  the approval is for trial purposes in the country and that the industrial hemp is not the same as much talked about and known Indian hemp.
“Let me point out that industrial hemp is different from the much talked Indian hemp chamba or Cannabis Sativa] that is prohibited. This [industrial] hemp does not contain the psychoactive chemical elements that affect people when smoked even though it is from the same family of crops,” Chiyembekeza said.
Indian hemp legalization debate took a center stage across the country and three months ago the issue was even raised in Parliament for debate, and the minister explained last month that should the trials be successful, the industrial hemp will be another source of foreign exchange earnings.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
Indian hemp",2015-10-02 00:00:00,"order, destroy, have, have, destroy, know, contain, do, find, destroy, confiscate, find, trace, convict, fine, confirm, come, approve, say, talk, know, let, point, talk, prohibit, contain, affect, smoke, say, take, raise, explain, care",two and half tonnes
76,https://www.nyasatimes.com/malawi-army-soldier-2-others-convicted-over-indian-hemp/,www.nyasatimes.com,Cannabis,"Malawi army soldier, 2 others convicted over Indian HempOctober 29, 2015 Williams Kaponda -Nyasa Times 15 CommentsThe Nkhunga First Grade Magistrate (FGM) court on Thursday October 29, 2015, convicted and sentenced Malawi Defence Force (MDF) soldier and two others for being found in possession of cannabis sativa at Kaombe roadblock in Nkhotakota.
Soldier convicted
Sub Inspector James Ngupasye Muyira, prosecuting, told the court that cases related to Indian hemp are rampant in the district.
Andrew Mitochi (34) of Kamuzu Barracks in mitigation said he was remorseful.
He went on to ask the court to be lenient when passing the sentence as he was a first offender and a family man.
However, before passing the sentence magistrate Buleya schooled the convict to be exemplary .
“We expect you as the law enforcers to be the exemplary in respecting the laws that you enforce. Hence a stiff punishment is required for you for others to learn a lesson,” Said Buleya.
He went on to sentence Andrew Mitochito pay a fine of K100, 000 or in default serve two year Imprisonment with Hard Labour (IHL).
Mitochi was arrested on Monday 19, this year at Kaombe roadblock when he was travelling from Dwangwa heading to Lilongwe on Dihatsu Mira Salon registration number IT 6496.
When police manning the checkpoint searched his motor vehicle discovered Indian hemp packed in two military bags.
The other convicts Gilbert Sichali (32) and John Gunde (34) were arrested after being found with 365 and 170 kilograms of cannabis sativa respectively.
Sichali and Gunde were arrested on October 16 and 22 and concealed the illicit drug on cartons and woven baskets.
They all admitted to the charge and were convicted and ordered ti pay a fine of K 350, 000 and K 80,000 or in default serve three years and one year and eight months IHL respectively.
Mitochi has since paid the fine while Gilbert Sichali and John Gunde are yet to pay the fine. They are currently at Nkhotakota prison.
The trio convicts Andrew Mitochi (34) and Gilbert Sichali (32) hail from Tito and Kamtekete villages respectively, in the area of senior chief Kanyenda in Nkhotakota district while John Gunde (35)of Chibweya village in the area of traditional authority MpandoNtcheu district.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
Indian hempMalawi Defence Force",2022-09-02 00:00:00,"convict, convict, sentence, find, convict, prosecute, tell, case, relate, say, go, ask, pass, pass, school, expect, enforcer, respect, enforce, require, learn, say, go, sentence, pay, serve, arrest, travel, head, man, search, discover, pack, convict, arrest, find, arrest, conceal, admit, convict, order, pay, serve, pay, pay, convict, care",170 kilograms
77,https://www.nyasatimes.com/malawi-police-arrest-mulanje-man-85-kilograms-chamba/,www.nyasatimes.com,Cannabis,"Malawi Police arrest  Mulanje man over 85 kilograms of ChambaSeptember 23, 2016 Maurice Nkawihe - Nyasa Times Be the first to commentMalawi Police in the tea-growing district of Mulanje have arrested a 36 -year-old man John Namowa for being found in possession of Cannabis Sativa locally known as Chamba.
Arrested with Chamba
Mulanje police Public Relations Officer, Gresham Ngwira said law-enforcers at Muloza police post arrested Namowa during a sweeping exercise on Tuesday.
“While doing their duty they received a tip that the suspect was keeping Chamba at his house,” explained Ngwira.
“When the officers searched his house, they found 17 plastic bags full of the Indian hemp each weighing about 5kgs. He was arrested immediately.”
Meanwhile the Cannabis Sativa has been sent to Bvumbwe Research Station for examination.
Namowa who hails from Namani village, T/A Njema in the district will arraign on the charge of being found in possession of Indian hemp contrary to Section 4 as read with Section 19 of Dangerous Drugs Act.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
Indian hempMulanje",1985-09-10 00:00:00,"grow, arrest, find, know, arrest, say, arrest, do, receive, keep, explain, search, find, weigh, arrest, send, hail, arraign, find, read, care",85 kilograms
82,https://www.nyasatimes.com/lawyers-offer-to-appeal-on-behalf-of-convicted-chamba-boy/,www.nyasatimes.com,chamba,"Lawyers offer to appeal on behalf of convicted chamba boyJune 26, 2022 Owen Khamula – Nyasa Times Be the first to commentMalawians have taken up in various social media platforms to express displeasure and concern over a court ruling which has sent a 19-year-old boy to jail for eight years for being found in possession with chamba.
The Blantyre senior resident magistrate court this week sentenced Mussa John to eight years imprisonment with hard labour for being found in possession of 78 plastics of chamba weighing 134 kilograms.
Convicted boy
Some lawyers have shown interest to seek a review of a matter probono.
Counsel Alexious Kamangira says he has already met Mussa in his preliminary investigation of the matter before taking it up to the Chief Resident Magistrate in Blantyre.
On the other hand, executive director for the Centre for Human Rights Education, Advice and Assistance (CHREAA), Victor Mhango, said they will meet the convict on Monday on the same cause.
Mhango says they will be responding to a call by some citizens to intervene on the matter, saying a fine or a suspended sentence would have been fair to the suspect being a first offender and considering his age.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print",2022-06-26 00:00:00,"offer, appeal, convict, take, express, send, find, sentence, find, weigh, convict, show, seek, say, meet, take, say, meet, say, respond, intervene, say, suspend, consider, care",134 kilograms
88,https://www.nyasatimes.com/3-mzimba-elderly-chamba-farmers-freed-by-court-after-pleading-guilty/,www.nyasatimes.com,chamba,"3 Mzimba elderly Chamba farmers freed by court after pleading guiltyApril 27, 2018 Chancy Sibande –Mana 5 CommentsMzimba First Grade Magistrate Court HAS set free three senior citizens on the basis of old age after pleading guilty to the charge of cultivating Indian Hemp locally known as chamba in the district.
Why me? Chamba farmer
Lyton Lunda, 91, his two sons Nervason, 74, and Alufeyo, 61, were arrested Thursday last week at Nthapangwa Lunda Village, T/A Kampingo Sibande in the district.
On Monday, police prosecutor Sergeant Snowden Chimombo told the court that the three were arrested following a tip by one of the members in the village.
“The police uprooted about 300 plants of cannabis which were found in their garden. The hemp was taken to Lunyangwa research station where it was tested and weighed 456 kilograms, including stems, seeds and roots,” Chimombo said.
The Lundas pleaded guilty to the charge of violating regulation 6(1) as read with 19(1) of the Dangerous Drugs Act and were subsequently convicted.
Chimombo said though they were all first offenders and aged, there was need for a stiffer punishment to serve as a lesson to other ganja farmers in the district.
“The convicts are old people who are responsible in society. The first accused is the village headman which means he was supposed to act responsibly and be exemplary to young ones,” he said.
In mitigation, they all pleaded with the court to exercise leniency saying they are aged and responsible for orphans.
They further promised the court never to engage in Marijuana farming again.
In his ruling, First Grade Magistrate George Longwe told the court that the offence is very serious and needed a stiffer penalty.
He, however, said the court considered charging them using section 340 of the Criminal Procedure and Evidence Code.
According to the section, for first offenders, before imposing a prison sentence, a court must, by a process of elimination, rule out that a non-custodial sentence is not the proper way of dealing with the offender.
In deciding that question, the section further says the sentencing court may regard the youth, old age, character, home surroundings, health or mental condition of the accused, among other factors.
“The offense is very serious, but these are first offenders, and elderly; the oldest being 91 and the youngest being 61. In addition, they have repented that they will not do it again,” Longwe said.
He, therefore, used section 337(1) of the Criminal Procedure and Evidence Code and discharged them on condition that they should not committee any offence within 12 months.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
Indian hemp",2018-04-27 00:00:00,"free, plead, set, plead, cultivate, know, arrest, tell, arrest, follow, uproot, find, take, test, weigh, include, say, plead, violate, read, convict, say, age, be, serve, accuse, mean, suppose, act, say, plead, exercise, say, promise, engage, farm, tell, need, say, consider, charge, use, accord, impose, rule, deal, decide, say, regard, accuse, repent, do, say, use, discharge, committee, care",456 kilograms
91,https://www.nyasatimes.com/police-grants-bail-castel-malawi-md-arrested-over-suspected-chamba-cultivation/,www.nyasatimes.com,chamba,"Police grants bail Castel Malawi MD arrested over suspected chamba cultivationApril 9, 2022 Owen Khamula – Nyasa Times Be the first to commentManaging Director for Castel Malawi Limited, Herve Milhad, has been granted police bail after he was arrested on Friday on allegations of cultivating chamba.
Castel Limited Managing Director: bailed
Milhad was arrested on Friday morning on allegations that he was found with five grams of Indian Hemp (Chamba) in his bedroom.
Deputy Police Spokesperson for South West Division, Beatrice Mikuwa, said police also discovered that Milhad was also cultivating C’chamba illegally at his vegetable garden at Kabula Heights in Blantyre.
Mikuwa added that police officers who raided Milhad’s residence on Friday managed to uproot 59 plants of the herb he was growing illegally.
According to Mikuwa, Milhad was given police bail on the same Friday and will appear in court either Tuesday or Wednesday after Bvumbwe Research Station completes its test to verify the herb.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print",2022-09-16 00:00:00,"bail, arrest, suspect, commentmanage, grant, arrest, cultivate, bail, arrest, find, say, discover, cultivate, add, raid, manage, uproot, grow, accord, give, appear, complete, verify, care",five grams
96,https://www.nyasatimes.com/another-uk-bound-chamba-package-intercepted-at-malawi-airport-hemp-from-zimbabwe/,www.nyasatimes.com,chamba,"Another UK-bound ‘Chamba’ package intercepted at Malawi airport: Hemp from ZimbabweJanuary 11, 2016 Kondwani Magombo –Mana 9 CommentsMalawi Police at Kamuzu International Airport (KIA) on Saturday intercepted four chamba “cakes” weighing 4.5kg posted from Harare, Zimbabwe, and heading to the United Kingdom on Kenyan Airways.
The Chamba cakes as packaged by the Zimbabwe exporter – Pic. Courtesy of KIA Police
This came after the police at KIA on Thursday also intercepted another package of chamba (Cannabis sativa) weighing 4kg posted from Harare, again, en route to an address in London, UK.
Both the Thursday and Saturday packages were posted through Kenyan Airways flying to the United Kingdom through KIA, according Sgt. Sapulain Chitonde, spokesperson for KIA Police.
The chamba was packaged in form of cakes and wrapped in carbon papers spread with hot pepper outside apparently to kill the drug’s notable smell, according to Chitonde.
But unlike the Thursday package which bore the name, Clayton Hickey, as the one who posted it in Harare and Richard Peterson as the recipient in London, the Saturday package had Mary Jackson, and Paul Jackson, as the sender in Harare and receiver in London respectively.
“We have not yet made any arrest in connection with the chamba packages but we are currently communicating with our counterparts in Zimbabwe to work together in tracing the culprits,” said Chitonde.
Between September and November 2015 KIA handled over 10 similar cases except that the parcels were posted from Blantyre to various destinations in Europe mostly via Ethiopian Airways.
During the same period, Police in Blantyre arrested Nigerian national, Mzee Chidiebere at Blantyre Post Office on suspicions that he was behind the posting of the packages of chamba to Europe.
Importation, exportation, possession or consumption of chamba is illegal in Malawi under Sec. 11 (A) of the Penal Code as read with Regulation 19 of Dangerous Drug Act, according to Chitonde.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
Indian hempKamuzu International Airport",2016-01-11 00:00:00,"bind, intercept, intercept, weigh, post, head, package, come, intercept, weigh, post, post, fly, accord, package, wrap, spread, kill, accord, bear, post, have, make, communicate, work, trace, say, handle, post, arrest, read, accord, care",4.5kg 4kg
97,https://mwnation.com/kia-police-intercept-europe-bound-chamba/,mwnation.com,chamba,"KIA Police intercept Europe-bound chamba by Malawi News Agency 08/10/2015 in National News 1 min read
0Kamuzu International Airport (KIA) Police on Tuesday intercepted chamba (Cannabis sativa)  headed for Europe.
This comes barely a week after another lot bound for Dublin, Ireland was intercepted at the airport while another lot also heading to Europe was intercepted on Tuesday.
The fine art books where where chamba was hidden
KIA Police spokesperson Sapulain Chitonde confirmed the incident in an interview. He said the chamba was in two separate packages posted from Blantyre to two addresses in the UK.
“One package weighing 4.4kilogrammes was posted by a woman in Blantyre going to Yorkshire, while the other package weighing 4.7kg was going to London,” explained Chitonde.
Like the other package that was confiscated, the two packages were wrapped in metal paper foil and concealed in fine art books.
According to Chitonde, smugglers believe that metal paper foil bars X-ray security machine from detecting contents of a package.
Police are still investigating to establish the identities of the senders and the intended recipients of the prohibited drug.
Sale, exportation and consumption of chamba is prohibited under sections four and 19 of Dangerous Drugs Act and those found are charged with Illegal Exportation of Dangerous Drugs, according to Chitonde.",2015-08-10 00:00:00,"intercept, bind, read, intercept, head, come, bind, intercept, head, intercept, hide, confirm, say, post, weigh, post, go, weigh, go, explain, confiscate, wrap, conceal, accord, believe, bar, detect, investigate, establish, intend, prohibit, prohibit, find, charge, accord",4.7kg
100,https://www.mwnation.com/man-arrested-for-possessing-chamba/,www.mwnation.com,chamba,"Man arrested for possessing Chambaby Mercy Malikwa 23/09/2016 in National News 1 min read
0  Police in Mulanje have arrested a man for allegedly being found in possession of 85 kilogrammes of cannabis sativa popularly known as chamba.
Mulanje Police Station spokesperson Gresham Ngwira said John Namowa, 36, from Namani Village, Traditional Authority (T/A) Njema in Mulanje, was arrested during a sweeping exercise.
He said police officers from Muloza Police Post received a tip claiming that Namowa was keeping chamba at his house.
“When the officers went there, they found 17 plastic bags of cannabis sativa, each weighing about five kilogrammes. Namowa was arrested immediately and the product has since been taken to Bvumbwe Research Station for examination,” said Ngwira.
He said once investigations are over, the accused person will appear before court to answer a charge of being found in possession of Indian hemp, contrary to Section 4A as read with Regulation 19 Sub-section 1 and 2 of the Dangerous Drugs Act.
In April this year, police in Mulanje also arrested two brothers, Wyson Simeon, 58, and Sankhani Simeon, 53, accusing them of cultivating Chamba in a fence behind their houses.
Just recently, Dowa Magistrate’s Court sentenced two men to 20 and 30 months imprisonment, respectively after finding them guilty of possessing Chamba. n",2016-09-23 00:00:00,"arrest, possess, read, arrest, find, know, say, arrest, say, receive, claim, keep, go, find, weigh, arrest, take, say, say, accuse, appear, answer, find, read, arrest, accuse, cultivate, sentence, find, possess",85 kilogrammes about five kilogrammes
